Tarih,Sembol,Fiyat,Gunluk %,Hacim 1g,Rejim G,Rejim H,Rejim A,Cakisma,ATR %
2026-07-24,BULGS,39.46,1.8585441404233325,5067802,1.39,1.09,0.61,1,4.024928988603822
2026-07-24,BIGTK,294.5,-3.0452674897119345,281259,0.24,1.18,1.15,2,8.427916502867747
2026-07-24,TARKM,509.0,4.1965199590583415,167976,1.37,0.89,0.56,1,4.600881153041804
2026-07-24,QUAGR,3.85,-1.0282776349614406,44113185,0.59,1.11,0.5,0,5.427161340121725
2026-07-24,EGGUB,101.7,-0.780487804878046,210548,0.54,0.79,0.45,0,3.285964275877558
2026-07-24,KGYO,9.86,-3.333333333333332,7706396,0.21,1.42,1.16,1,7.746546358586298
2026-07-24,MANAS,31.18,2.0956123117223333,12097775,0.43,0.96,0.77,0,5.35437524398038
2026-07-24,AYEN,35.6,-1.1660188784008931,298597,0.27,0.45,0.74,0,5.407286356360821
2026-07-24,TNZTP,25.02,0.1601281024819821,930353,0.54,0.83,0.57,0,3.454237542901218
2026-07-24,KARSN,10.9,-0.2744739249771213,5706388,0.56,0.65,0.81,0,4.622256726088658
2026-07-24,KMPUR,20.26,0.1978239366963536,1831902,1.07,0.92,0.43,0,4.572555768113518
2026-07-24,VESBE,6.07,-0.4918032786885141,3507209,0.27,0.75,1.54,0,3.880009025871866
2026-07-24,EMPAE,59.2,4.409171075837742,12043071,0.96,1.99,0.41,0,13.099542057589364
2026-07-24,EGEPO,19.1,-0.5726184279021314,1624892,0.35,1.36,1.08,1,4.054453543305304
2026-07-24,VSNMD,81.35,-0.6108735491753208,358304,0.29,0.38,1.08,0,4.391212687268994
2026-07-24,TUKAS,2.1,-0.9433962264150952,35073202,0.7,0.87,0.45,0,2.471004305132797
2026-07-24,IHAAS,56.9,-2.149613069647464,477620,0.19,1.05,0.96,0,8.328098467774096
2026-07-24,CELHA,23.92,-2.367346938775503,833767,0.23,0.38,0.92,0,7.696368047150464
2026-07-24,INGRM,391.0,-0.2551020408163265,15985,0.28,0.61,1.06,0,4.709839541352161
2026-07-24,SEGMN,50.3,-2.801932367149764,365485,0.28,0.6,0.6,0,6.745700194967817
2026-07-24,TMSN,85.45,6.413449564134504,2512182,4.33,1.0,0.63,1,3.409113330518937
2026-07-24,VKGYO,2.65,-0.7490636704119857,4696138,0.43,0.55,0.75,0,2.0660606704069355
2026-07-24,SONME,129.3,4.611650485436907,28698,0.82,1.13,0.85,0,4.826369221992481
2026-07-24,BOSSA,6.92,-1.2838801711840209,3670240,0.42,1.91,1.36,2,4.3835375588331065
2026-07-24,ALCAR,814.5,-3.093396787626413,29795,0.3,1.14,1.59,1,5.915468368954098
2026-07-24,AKMGY,241.9,-0.493624023035783,19674,0.67,0.91,0.43,0,4.062864283827354
2026-07-24,KAPLM,441.25,-2.107598447032723,77472,0.42,0.92,0.83,0,6.830920499861846
